income,family_size,spending_score,expense
192905.9,7,6,64069.62
171336.84,4,7,53177.32
62417.53,4,4,26445.39
80094.06,2,5,28474.92
170971.65,4,6,57018.67
66799.79,4,8,30027.35
38051.09,6,8,25651.94
113576.25,1,3,34653.41
187550.18,3,1,53053.82
140725.81,5,1,43765.15
116161.93,2,7,40529.07
23949.42,1,1,12479.76
124926.41,3,2,39762.45
198060.5,7,4,61857.11
32316.38,3,10,22372.14
106074.28,4,7,41565.32
176087.75,7,3,54553.89
149449.88,8,3,46851.01
140918.07,8,4,49021.45
141984.4,4,2,41523.84
75100.77,7,9,36678.18
62250.41,2,2,19768.27
162825.43,5,3,48362.98
162972.11,4,3,51670.99
174079.1,5,4,55172.28
183081.91,4,7,56649.52
104711.77,5,3,36556.7
102795.68,8,10,46818.76
160667.56,4,9,55433.65
131742.97,8,2,47217.36
141883.54,8,10,52584.56
160179.57,6,3,50838.01
178551.04,4,5,51602.86
70909.06,6,4,30805.37
78238.68,4,2,25649.68
23326.48,4,10,17761.01
117764.63,5,10,47480.89
12008.74,1,10,14716.89
95791.61,2,7,37221.45
110815.7,8,10,48377.6
60875.54,8,6,29391.52
120212.49,1,10,41237.09
10947.55,8,2,15322.77
12282.9,5,1,9915.07
165407.11,8,9,55138.25
75237.18,7,6,34362.88
29776.8,2,10,20129.04
106837.44,4,7,39430.97
155148.74,1,9,49177.15
47085.1,2,5,17073.61
126463.64,1,9,42097.1
21642.76,5,9,20587.97
15077.94,7,9,24279.12
108614.15,2,8,38440.76
110423.85,4,2,37538.07
129298.83,3,3,42551.45
146587.81,4,5,47933.89
195291.16,3,7,63182.84
105678.57,4,10,40057.08
67976.51,5,4,31885.05
160061.31,2,9,47666.02
57812.29,1,2,18792.49
90599.43,6,7,36879.18
20298.99,4,4,13796.24
9943.39,7,2,19121.2
192716.44,3,8,62088.06
168016.12,2,4,48810.59
140714.97,6,2,46966.4
84745.82,1,2,27796.98
38792.39,3,6,17649.88
35505.22,3,4,17951.79
53797.37,6,1,25683.79
112099.2,2,3,33173.8
144346.2,7,9,53053.52
133738.49,5,8,50546.89
59587.11,5,5,28774.04
191198.73,5,9,63388.24
148889.9,6,4,47236.43
113099.04,2,5,39232.14
124285.55,3,1,40935.33
86822.01,7,4,33235.77
53307.54,2,7,25223.23
74414.67,5,4,27504.33
152779.99,7,10,52682.29
7806.73,4,2,9389.54
27634.16,2,5,15987.82
13970.52,4,6,18303.16
12942.12,8,8,21275.21
171814.81,5,8,54023.85
142213.28,2,9,48713.9
97463.9,2,6,33819.89
24077.66,4,9,22697.9
100865.1,1,3,32580.17
97327.0,7,7,39859.72
38774.36,4,6,20982.79
89601.07,5,2,31687.24
82708.42,4,1,29464.99
125090.77,6,7,45806.39
128843.26,1,7,44326.38
13834.28,5,9,19323.22
78049.46,6,7,37805.97
127042.68,7,2,42312.2
103111.57,2,4,35843.48
172015.52,2,5,49210.8
133445.26,8,8,52132.7
36772.21,1,6,19696.5
18760.91,6,6,17768.78
130271.76,5,6,46179.62
10169.71,8,6,19074.39
119226.24,5,4,41361.65
188344.9,2,9,57408.64
117217.46,8,9,48395.91
80693.14,4,6,33181.53
130441.2,4,9,47598.29
94359.31,7,2,33209.26
111395.27,7,9,47442.49
188585.64,5,10,62573.44
80290.01,1,8,29604.37
192432.16,8,9,66350.97
181543.38,1,3,48774.04
43179.27,8,10,32357.91
18525.45,7,3,16533.52
24651.71,8,10,27015.97
8553.26,6,8,14233.32
23416.38,8,5,20509.92
138186.32,2,7,43408.86
18881.79,7,5,18863.61
67200.25,8,8,29526.23
169750.69,3,10,54228.15
9538.03,6,10,18382.22
163821.35,8,10,62814.88
59961.68,1,8,18294.22
28042.14,7,1,15470.22
140863.75,6,6,48862.04
127643.86,3,4,40127.86
176107.04,4,1,55649.38
148338.85,2,8,48093.12
161678.78,4,5,53118.44
59996.74,8,1,27046.5
39600.71,8,2,22512.1
151369.88,1,7,49656.43
162332.77,4,10,53638.37
198148.5,5,9,66058.57
85460.45,4,6,32535.35
77543.53,7,10,40354.88
156400.53,3,4,46653.88
71456.69,3,3,29866.89
186497.68,4,1,54240.97
172390.49,1,4,51351.16
88653.84,8,3,37544.17
151419.86,7,3,52685.82
152135.86,3,2,44932.25
25109.15,6,10,22466.64
180997.82,2,2,49647.84
103524.21,5,3,37192.41
166159.21,1,7,47530.2
67409.67,2,3,24268.05
179627.03,1,1,48620.1
80894.33,7,5,35138.71
7113.34,3,8,13153.48
181549.49,1,8,55276.79
22800.9,7,5,19526.43
67266.16,2,8,26585.71
190262.08,7,4,60611.84
190368.39,6,3,58060.79
116820.39,6,2,41472.31
128208.26,1,6,37889.34
92446.88,6,8,36042.05
62176.1,3,8,29826.39
69089.59,4,6,25187.95
136141.1,2,7,42282.22
151713.03,6,2,47750.91
159357.91,4,5,47056.51
158975.54,3,4,48729.8
22785.19,8,2,21211.65
101411.96,2,8,37256.47
16223.96,4,7,18147.75
112158.13,2,5,34579.85
91098.45,7,10,41529.11
178102.32,5,5,58551.56
73428.43,4,7,30434.95
27828.07,4,9,20965.68
32883.38,8,5,24317.88
153494.57,5,5,49486.0
125552.52,3,1,37421.83
24718.92,7,1,16118.63
21400.83,5,4,16258.46
141688.98,7,5,51236.22
19188.79,2,2,8546.83
165262.71,2,5,51101.01
142717.23,2,1,42034.46
20863.01,3,4,13587.92
21543.35,5,3,17550.21
197394.72,8,8,67953.1
77982.81,8,4,35018.57
77275.22,1,8,28932.65
163495.92,4,2,50288.6
189713.47,8,1,59955.93
197270.21,5,1,61895.22
151908.75,2,4,44894.0
78370.62,5,4,29738.59
21282.64,5,7,20044.92
156543.65,3,2,45671.72
113888.83,4,2,37291.08
87723.29,3,2,29900.94
181739.11,6,1,56051.87
26683.51,3,3,12903.63
101061.9,7,5,41616.48
7213.96,2,2,5063.09
96388.83,3,3,34587.07
15979.14,4,7,18648.24
28169.49,2,7,16259.47
27917.62,3,7,15926.3
131596.01,8,1,43729.04
150478.75,8,7,56101.09
118756.91,2,4,37354.57
192623.65,5,7,62085.29
78099.76,4,4,29097.87
60713.86,1,6,24616.36
174376.83,1,5,51676.03
48601.19,1,3,17962.61
192828.4,5,1,57078.57
7370.12,7,5,18834.75
194126.37,3,1,54721.23
13416.18,6,4,13862.04
178772.91,7,3,53425.54
107901.72,5,3,36384.94
198628.14,1,4,55028.42
19390.33,7,9,22212.87
113001.59,3,3,38017.19
194013.99,5,7,61928.58
107004.08,3,7,39864.56
127732.73,1,7,40585.95
140670.99,4,3,45172.66
93635.51,8,4,38456.0
127373.83,1,10,42645.04
118941.29,6,9,43941.53
180725.81,1,3,48846.73
13862.04,2,6,12098.0
59787.82,8,9,31020.61
190330.24,7,10,67509.65
178601.44,6,3,55847.62
93853.07,3,10,36801.02
125925.86,7,9,46518.2
59089.33,8,9,34428.49
41683.63,2,5,17553.63
95421.19,7,3,35352.78
73903.68,8,2,31224.9
118812.94,7,2,43919.72
20158.25,5,5,16215.92
195006.99,5,3,63995.91
197311.1,1,7,58502.54
141141.53,7,1,46432.23
109538.79,6,6,37351.88
65357.89,2,5,23125.18
163690.03,7,4,55798.89
138522.58,2,9,47206.21
36710.3,4,8,20327.22
182630.8,4,3,58002.56
165394.76,7,6,59040.01
190210.98,1,9,57304.93
146515.3,7,5,52273.94
124615.96,8,9,47344.81
86557.39,6,2,29347.92
186882.05,6,5,63219.18
173882.46,5,2,51008.57
13817.64,4,6,18369.72
10141.56,2,3,10544.91
78410.36,7,6,34219.95
163057.9,8,7,58747.71
197518.85,2,5,56952.67
34331.29,1,6,16476.71
120855.49,7,4,45396.5
79273.72,3,6,25826.97
194133.31,3,7,57864.26
169213.19,5,9,58185.88
168474.1,6,3,54851.41
96395.17,6,3,37718.64
85889.8,1,1,22972.08
58314.38,7,5,28939.07
15993.22,4,9,16157.66
173620.86,8,6,59814.5
163515.7,5,3,50403.34
199944.95,8,10,68586.26
199344.18,4,7,63976.13
113309.18,6,9,43018.87
154952.55,1,7,46933.49
189229.32,5,2,54647.59
170681.24,6,10,60886.49
53232.88,6,1,21804.67
92856.11,7,1,34143.57
30186.09,5,3,20848.02
191039.95,4,9,62078.59
123204.05,8,1,43590.05
49585.35,3,1,16004.68
135981.63,8,9,53147.43
125535.01,3,8,39799.74
74841.73,4,9,28968.06
27143.73,2,7,19273.15
135956.77,2,2,40934.91
106460.0,5,3,35364.58
155602.09,4,5,46854.6
106431.88,3,4,35566.32
171175.39,1,9,55478.43
112621.83,2,3,35784.87
114382.9,1,6,37056.24
175947.45,3,8,57861.66
83679.16,4,5,30729.95
31132.97,2,7,12577.77
10612.62,5,6,17555.57
152251.76,1,6,46259.45
125960.36,6,9,46795.98
142295.55,7,3,44900.12
46528.01,6,1,21936.82
31592.44,6,6,21364.39
7836.21,2,4,7749.82
73364.57,3,3,27567.4
120033.95,2,4,37388.5
81487.59,7,5,35770.05
90307.61,2,4,29800.99
181310.95,4,10,58843.25
72909.82,4,3,25709.79
105227.95,8,2,40448.68
157812.34,5,1,50071.53
82325.84,8,4,33591.31
126306.91,8,7,50708.97
173160.92,7,2,53769.15
190156.52,4,10,61353.23
33679.33,6,6,25561.26
185684.59,7,6,61203.61
100962.68,8,8,43104.94
55357.66,8,9,33134.24
94531.47,3,3,33860.6
196106.35,5,10,63187.01
101060.53,1,3,30465.24
69106.56,7,6,34356.3
128513.17,5,7,50811.07
51828.4,4,7,22577.37
19793.35,5,3,16865.23
30131.55,7,8,24255.0
29968.94,5,3,15144.65
34621.03,7,9,31342.79
32071.3,2,2,13301.06
129970.58,7,7,48542.11
40466.62,6,2,16568.3
72405.12,2,2,24793.72
179873.74,2,5,55426.7
97422.52,8,4,39898.29
135173.76,5,9,46346.84
38602.37,4,2,20733.99
42496.36,3,7,24932.6
12969.38,3,2,8182.18
37942.34,1,4,14861.86
59325.12,8,6,30080.45
39517.04,3,10,25133.83
22296.99,4,9,17122.6
28523.99,3,7,21702.17
94851.86,7,5,39880.54
45235.08,8,8,31171.63
76032.62,5,9,33404.09
103166.37,7,4,41107.01
139626.99,5,3,45428.8
12665.87,8,1,19769.15
160885.03,2,6,49513.62
127440.58,8,8,50345.56
20943.01,8,1,19962.8
175347.83,1,6,53011.89
184570.12,3,4,58948.47
16910.2,5,8,17079.89
58991.14,6,10,31070.5
162209.25,7,9,58765.01
150910.64,3,8,46582.06
40981.6,2,3,18463.04
45823.12,1,5,18470.3
77242.06,2,5,31000.18
99481.98,3,1,29978.29
125559.68,6,10,49772.92
76938.16,3,3,29263.31
95194.27,7,4,37885.02
150756.83,2,1,41174.35
12153.22,6,7,14213.82
54225.2,4,2,20254.66
144103.17,2,3,40078.86
179565.33,5,8,59703.89
104777.1,7,6,41599.4
108762.13,4,1,34807.08
25898.54,4,1,17195.58
92245.41,8,10,43355.89
108860.37,3,2,32141.14
52281.75,7,10,32065.94
57502.43,6,6,28937.93
78570.41,7,8,35901.53
8913.88,2,1,8522.77
67805.44,2,5,23236.48
46232.36,5,4,19125.11
68861.98,3,5,30530.21
28353.62,5,2,16627.54
178652.82,4,1,54532.41
120750.53,6,3,39775.65
137424.95,3,8,40966.89
158888.39,7,10,61334.64
102196.23,3,6,34602.8
21949.46,3,3,13289.81
109735.78,2,6,34518.88
119434.02,7,6,49248.85
150360.7,3,10,52046.85
89173.61,7,1,33454.29
29878.16,5,7,20130.46
60336.3,7,8,33478.06
75801.05,5,3,27302.62
130953.86,5,4,44456.23
116301.77,4,7,39776.77
74438.86,4,10,31621.52
197370.47,7,7,68932.1
123126.09,8,6,49298.36
51259.22,4,4,22389.39
24847.58,6,3,14974.63
34807.53,2,2,15674.87
52961.76,7,4,28923.69
36332.87,6,8,23155.85
41380.57,8,1,22834.38
60593.56,7,2,23824.73
38807.85,3,2,13664.98
179869.26,7,5,60013.0
20645.58,2,2,11254.07
107279.72,4,9,44548.88
85027.38,2,1,27435.18
196563.83,7,9,67815.43
26847.59,7,7,27270.4
82581.84,6,10,36106.25
194046.73,8,9,66555.31
173773.89,3,7,55468.83
164329.05,5,9,52770.66
55291.05,5,5,25708.13
38323.08,8,5,28152.92
135385.43,4,10,50259.33
186228.32,2,1,49134.27
113568.76,5,5,41100.37
116464.47,2,7,42637.57
59595.92,5,8,30397.43
155051.12,2,1,48910.29
41473.53,5,2,19352.31
68117.45,2,8,25222.46
87960.11,8,3,37257.58
103984.02,1,1,34262.82
52269.9,3,9,28296.95
27393.18,2,9,19496.94
124070.91,7,8,48355.5
61282.96,6,2,23610.29
118341.45,8,4,45976.26
35100.73,2,4,14682.75
98822.32,6,4,36815.61
108854.94,7,6,43147.87
15105.59,6,5,16082.8
70637.83,4,4,27764.62
31210.86,2,7,17318.61
17358.12,8,7,21540.4
198042.25,8,8,67531.89
67859.0,2,3,22036.64
162925.52,4,3,49049.06
54654.93,1,5,20902.23
137893.03,7,4,48427.32
153244.43,2,10,52972.7
121149.55,7,2,45201.77
96957.36,4,4,38144.63
85308.98,3,4,30974.09
73029.31,5,10,29953.75
186258.18,3,10,63221.04
166970.78,1,2,46753.04
193180.25,3,9,57037.51
29237.96,5,4,20964.84
147519.16,1,9,44678.23
187976.39,3,2,55599.42
40340.45,3,10,23346.48
17966.77,2,6,15174.67
149518.53,1,4,42835.73
117022.26,3,6,39764.23
169156.61,6,9,61251.59
32255.61,7,10,28441.95
160077.13,8,2,57630.09
44317.33,5,7,23658.67
36912.91,6,10,27052.07
37031.83,3,5,14543.68
163842.07,2,3,44827.49
134713.46,7,9,53771.88
106997.76,7,8,42833.08
74971.94,5,3,28158.04
176054.11,8,2,51920.08
81526.8,4,1,25090.79
164236.89,2,10,51641.51
90631.31,7,7,37597.97
78504.16,3,2,32393.0
95222.56,6,5,36644.15
63768.69,2,4,22551.39
150783.83,2,6,45873.91
103030.48,6,1,33336.6
50281.48,5,4,24742.76
180417.04,1,10,56122.34
79858.79,4,5,28219.31
110992.81,4,8,41313.89
181762.06,1,5,55220.81
126726.41,2,5,41374.5
27795.12,4,6,15324.21
188267.26,5,3,58055.81
127403.07,3,10,48843.8
70306.59,5,9,33204.16
32158.05,7,4,23593.38
159834.91,8,8,60090.97
125914.19,7,4,42274.07
109024.91,5,1,35575.03
179309.05,3,2,52242.17
158776.46,3,8,52530.23
34576.6,5,2,16839.63
65785.8,4,6,26944.52
53455.38,4,1,21380.15
150069.53,8,10,59356.02
11538.82,7,8,19981.49
116128.49,5,10,46538.52
153679.44,8,3,53648.52
175969.3,6,3,55166.75
71705.94,6,4,29730.55
165145.17,7,1,48675.85
26573.19,7,4,20538.48
170058.2,3,6,53314.28
29860.29,5,8,23103.37
82471.02,8,7,35744.94
160472.6,2,9,54048.57
34233.9,2,6,16461.64
49704.02,2,7,23161.26
145839.25,2,8,46646.33
145407.12,3,7,51151.32
130023.79,2,5,40202.74
140319.95,2,4,41175.2
110831.27,7,1,39699.1
54100.82,3,5,20558.07
72410.72,1,2,22587.69
40411.55,4,7,21774.1
182147.86,4,10,61716.43
118761.4,7,2,45036.51
83166.03,2,6,29412.69
95091.13,2,7,29884.97
189720.25,2,7,56277.79
34903.52,1,7,20658.86
119314.82,5,8,41391.94
103648.29,1,6,34054.2
124233.58,8,2,46052.12
8531.49,3,4,10119.47
175064.16,4,10,57105.67
186763.07,2,6,56646.75
115200.97,4,2,36709.05
140846.91,1,10,45775.58
184887.38,2,8,55454.66
142911.53,4,1,44692.38
34745.11,5,7,23245.8
117376.23,8,1,41573.91
123309.43,8,4,46770.53
87705.48,7,1,29773.49
148606.63,3,8,50658.27
187201.57,2,3,52951.95
185485.86,2,10,59564.1
92913.68,5,2,30600.25
27081.42,6,10,24524.33
197044.03,8,1,60273.28
168585.13,2,10,53595.98
29309.22,4,1,15512.62
184564.17,2,10,56318.96
174629.79,6,7,58327.71
106173.42,6,4,38856.26
120298.71,2,8,39082.87
82805.53,7,8,33671.58
15678.52,5,4,15356.77
70363.46,7,9,33945.2
161556.42,6,2,50414.02
5903.24,8,10,16695.0
70032.34,2,1,23855.53
82642.9,2,8,32481.08
109792.14,2,2,34055.6
184371.85,5,2,60633.71
72537.47,5,2,30799.85
72655.87,6,5,32197.77
148812.74,4,5,49360.76
93182.5,5,4,35526.17
48797.94,7,6,30562.99
93225.71,5,9,39203.37
32467.12,6,5,18949.59
39395.46,8,6,27337.38
102181.72,8,1,37363.92
86690.46,2,5,30118.21
183394.95,4,6,59215.83
75666.81,2,1,20842.76
118214.73,8,7,46253.75
128291.54,4,4,41510.39
7553.42,3,6,12647.93
134389.79,2,5,39997.92
39717.01,4,4,20063.42
192408.71,6,5,61599.82
33989.23,3,3,14477.96
85851.7,7,9,37891.29
21643.19,8,1,19131.52
199390.48,3,9,62991.39
102928.03,7,5,43406.54
121100.08,1,7,38819.4
18079.91,8,10,27751.74
151242.29,8,7,56793.01
45931.59,1,4,19779.23
180120.59,1,10,54092.24
45002.23,3,2,14025.6
42184.11,7,1,23824.22
12127.19,4,10,17024.24
97053.05,7,7,39414.78
115144.02,6,2,40970.72
17813.18,6,2,14235.79
156227.89,4,6,48491.39
93391.32,6,5,35950.59
107256.1,5,5,40507.29
90948.74,8,2,31611.65
83148.8,2,7,26783.47
114129.86,3,8,39730.25
35271.85,5,1,16659.48
40475.99,3,4,16811.99
173048.2,1,9,52740.25
189492.52,8,10,69355.12
77795.32,6,6,32132.19
57795.21,8,1,24257.7
130579.91,3,6,40162.77
84703.16,7,5,35726.33
9950.34,1,8,8066.74
35449.76,1,6,15949.49
144614.58,8,3,50249.74
133490.17,6,6,46660.64
10283.72,7,2,15702.67
48284.57,4,4,23433.59
50059.59,8,1,25823.73
136019.09,1,2,38947.37
8843.55,8,6,19785.8
25301.17,5,4,19638.46
160983.64,2,10,52785.32
39816.21,7,8,27757.12
132285.49,8,10,49666.54
51445.64,4,8,27510.2
24391.07,4,10,21895.07
52418.58,6,5,24338.68
145842.05,4,8,49888.59
171860.81,2,4,53488.53
166892.87,7,7,54810.99
82450.79,7,6,37716.88
135276.6,6,5,43449.56
44971.94,3,5,20332.79
62163.81,4,5,31664.07
179785.48,1,3,52717.65
7535.38,3,7,12207.15
21674.16,4,3,15839.58
45537.82,8,5,27181.49
10173.78,7,9,23211.27
40379.91,4,6,20704.23
118693.1,5,9,43944.15
87177.79,5,7,32319.28
179070.98,5,10,63272.62
164401.49,6,4,52516.65
71654.38,4,6,31086.06
55587.57,7,5,28301.26
79040.02,4,6,29831.19
120107.51,5,7,44478.01
57272.41,1,6,22774.07
126709.04,5,2,43317.06
84835.27,8,7,37482.73
112649.2,4,7,39685.62
90044.67,4,2,26023.36
62420.82,2,1,22311.24
189948.39,1,6,58358.12
153903.13,3,3,46018.58
32322.07,1,5,15451.8
174351.26,5,2,54257.83
100049.08,6,4,39236.05
179437.68,5,5,56302.1
160971.77,1,1,43463.9
87916.63,6,7,36005.64
9381.52,2,1,8339.22
57392.09,8,6,28626.63
110618.67,2,2,34118.16
128528.25,3,10,48991.22
55288.1,5,5,26960.82
32174.43,4,9,18123.55
167811.4,3,7,51716.75
196958.43,1,9,59970.0
107509.59,2,5,32849.95
38477.46,8,7,26325.66
58099.93,3,8,27156.06
8586.18,6,8,16650.18
183288.27,4,10,61413.63
27961.46,2,8,18449.18
117420.71,6,7,43562.55
58440.77,4,3,21693.11
113064.71,4,10,40901.95
132026.98,2,4,39689.22
166799.65,4,7,54497.17
45252.15,3,1,14238.98
7144.19,2,5,8376.84
31692.7,2,8,20225.83
180503.64,2,1,50901.4
175408.57,5,3,52670.85
121495.55,5,9,48545.11
122100.79,7,2,44353.71
134682.15,8,3,45640.97
39197.4,2,6,17271.7
183310.33,8,10,63221.8
86660.25,6,7,37068.47
79712.01,3,4,27702.42
106188.95,4,5,37651.11
14158.36,3,2,13688.93
37425.26,8,2,25809.8
148916.56,5,9,52927.29
21145.74,4,4,15029.11
122614.66,5,1,43809.86
52843.08,7,2,21889.46
80912.64,6,3,29318.04
61295.28,4,8,30774.09
74356.18,2,9,33819.81
145213.95,2,9,48212.79
62938.73,8,8,33687.65
115448.9,2,9,44783.87
97829.83,4,4,33530.22
134415.88,1,10,41939.05
187681.8,2,6,55080.05
147851.56,3,2,43117.64
46913.37,2,10,26051.39
11080.71,5,6,16799.46
56141.49,2,4,21211.74
121040.2,2,1,36140.65
15028.03,1,1,8028.01
101791.42,1,5,31915.0
121384.36,5,9,45917.02
70177.56,8,9,37179.56
155327.88,8,5,49360.71
25786.66,6,10,23310.74
19651.87,3,2,12537.79
146996.81,3,1,44214.86
101620.81,4,5,33876.66
139238.47,1,3,36472.73
89791.33,7,1,31579.85
53048.4,5,1,20895.13
164724.95,7,3,54248.87
160886.1,2,9,53065.79
140465.81,3,8,51812.54
58068.3,4,10,30451.65
120094.98,4,10,44493.06
75389.91,7,1,29138.98
22858.5,2,3,12139.74
183876.15,4,7,58525.19
31679.63,7,2,20930.07
