income,family_size,spending_score,expenses
114168,1,3,33845.04
20709,3,3,14883.9
63675,3,9,43233.52
74060,6,9,57954.63
53570,2,8,32064.78
21034,5,10,34019.94
126382,7,5,72870.28
88218,6,10,64405.73
50349,3,4,33054.71
21632,6,3,32254.73
103165,2,8,46380.38
62065,3,2,30320.23
126164,6,9,73040.46
80532,3,4,48315.91
21022,3,1,20336.15
132619,1,4,32971.12
70682,3,1,32858.65
95551,7,10,73509.71
121893,2,8,58331.14
65112,3,8,36964.87
134536,7,10,78560.17
83173,1,6,31545.44
117543,4,1,46630.78
43494,6,9,41071.86
119304,2,5,50172.93
146079,4,6,61486.55
144752,2,1,48776.53
120949,4,6,61676.56
35807,3,8,20321.89
142208,2,6,55597.9
49703,1,6,19733.73
33798,2,5,19043.72
145381,7,7,91332.47
84514,6,10,60676.83
34330,4,8,27544.41
62134,7,5,47404.85
115076,4,9,58849.82
77583,7,10,65309.47
26075,6,9,41257.55
78752,4,8,55730.21
28369,3,10,26240.79
67772,1,9,32256.87
57838,2,3,32612.4
93691,2,8,50802.8
68484,6,2,44937.56
48422,4,1,32438.48
97354,7,6,60557.62
147212,7,8,85265.04
126570,6,9,78546.05
78280,4,8,50947.75
61458,4,7,36357.1
58826,7,4,49257.77
119849,3,7,52170.87
107231,1,6,38248.15
25369,7,1,45347.61
90724,3,10,49959.56
69736,5,7,46864.65
107672,7,8,73576.5
139773,2,7,57549.7
102722,5,8,67199.38
114524,2,7,55575.64
70957,7,3,66202.59
22644,5,7,42098.89
75030,7,3,56349.86
52984,1,4,22572.82
55821,4,8,42384.15
40628,7,4,45005.32
66062,1,1,12184.67
74059,2,10,31825.4
100702,4,6,63743.67
66939,6,1,42753.7
118941,3,6,53250.04
120124,5,4,54495.16
84625,5,10,56011.75
100332,2,6,35747.86
111795,1,9,44394.97
62932,7,8,60457.74
28721,1,4,15589.7
78516,5,3,52568.43
81397,7,6,50851.28
128647,2,2,29365.71
20005,4,10,24849.21
113770,7,7,61496.04
31732,5,3,31320.38
130385,3,2,54598.23
40483,3,3,30390.85
20548,7,6,39442.36
42907,3,1,30409.68
94067,7,2,56354.94
132763,6,6,73266.23
77812,4,1,36024.33
120219,2,5,42070.48
83758,7,10,62600.11
124574,6,9,75472.88
84171,3,2,34409.58
32424,2,2,12228.95
133377,6,7,70102.63
30942,2,4,18494.13
133640,1,7,46546.51
109253,2,9,44434.13
144548,2,7,55911.65
37109,5,1,38447.09
73457,2,4,24219.75
104588,1,8,42989.89
140534,7,4,77547.12
63937,3,8,39157.43
143068,4,7,68615.67
142223,7,10,92112.19
84282,7,6,73001.99
41312,5,2,38642.86
40234,4,6,36523.42
102008,1,3,28252.78
146924,1,6,47063.42
29704,5,2,30181.28
104940,4,1,40777.54
70996,3,8,42782.5
55262,7,1,42603.71
126164,7,10,84935.22
61124,3,5,33998.77
76148,2,3,23186.55
24620,2,6,14213.68
120975,1,5,45822.57
110322,6,10,66245.01
42236,3,5,38730.99
29040,7,3,31606.21
75708,7,10,68626.78
89966,1,4,20501.96
59477,3,7,24677.24
133340,5,4,65188.17
77316,1,8,37132.89
21389,1,6,9513.35
29263,7,3,45220.56
35831,1,10,12485.36
34056,1,8,26653.24
52027,1,4,10802.25
128720,6,5,65569.61
124535,6,8,71763.37
102060,2,5,44466.41
35921,4,8,28634.97
26213,2,8,23146.66
81111,4,10,53737.6
33001,4,8,26616.46
42671,5,6,35687.05
132605,5,7,65544.63
57348,2,1,25848.14
25134,4,7,26034.1
147369,3,9,71684.13
115370,4,9,65876.49
136985,6,7,75382.77
52804,3,7,31704.12
58635,1,2,20229.94
73961,3,4,35720.89
135127,5,5,59709.17
148534,3,4,51035.94
136749,1,10,52230.56
113119,6,8,70479.78
123477,2,5,42468.36
49833,7,2,54269.65
71683,5,7,49728.12
59559,7,9,53808.24
110009,2,5,42956.67
34337,6,8,51221.03
143167,1,4,35455.71
112518,2,7,47070.27
47350,1,7,13021.36
67228,4,4,31683.51
132478,4,1,49735.03
72326,1,8,40579.16
44347,7,4,55131.91
42103,4,2,35896.45
48322,1,7,16202.56
24529,2,2,23132.36
62050,4,9,42656.01
128633,1,1,37017.62
148886,1,10,60041.61
44104,3,7,26978.84
139991,5,1,59164.23
61037,1,1,27514.73
29859,3,3,26534.24
35634,6,1,37982.69
134539,4,8,61469.86
89503,5,4,50423.2
85040,5,9,60325.65
64168,7,3,56887.31
143876,3,8,66888.56
136228,3,7,58479.44
106685,2,8,47641.14
84762,5,3,51077.28
109435,3,2,49373.38
51031,5,6,40379.46
110208,4,5,62213.19
51065,1,3,11829.47
124189,7,2,60716.15
119393,7,7,78543.3
28083,7,10,43049.54
76399,7,7,61249.05
88771,5,7,52899.09
121201,5,2,50469.64
81866,2,5,26201.38
57314,1,5,23895.46
135942,7,3,64749.48
149864,5,9,83897.98
130736,6,6,77235.17
25034,1,5,14370.16
133998,6,3,58665.06
31277,3,4,27509.27
41272,4,5,29655.48
54598,6,10,47758.51
44115,7,5,48962.24
36231,2,9,24250.0
93850,6,4,53515.74
97677,1,2,24374.3
134544,7,6,74982.82
115096,6,3,58106.69
146115,2,7,62524.82
60586,4,3,38997.24
144019,3,3,49702.76
113118,4,1,48594.93
96503,5,8,62348.92
46596,1,1,14334.37
22356,5,7,35202.34
30834,5,3,37659.76
78081,1,10,40839.27
68272,7,8,59392.55
143334,5,4,76373.25
23457,2,2,15489.57
147113,7,1,65470.16
146876,5,10,92698.83
123872,5,10,78719.94
47538,3,10,30473.53
72626,5,5,41632.61
127135,2,8,57216.21
129370,4,9,73229.69
74364,6,2,49942.26
49883,7,5,51621.57
28759,3,10,29291.62
104877,7,1,58747.81
77183,6,9,65130.73
123553,5,6,72078.17
57928,2,6,26069.64
88558,7,8,60025.1
81398,7,5,56941.3
52709,7,3,48038.85
127569,2,5,40722.72
107395,6,4,48165.5
109444,3,3,37909.57
85345,5,4,56539.49
51926,1,8,18545.28
115251,7,7,76915.07
126472,6,5,68221.79
24389,5,4,29495.77
59384,5,6,40430.12
102486,2,8,44398.86
55732,4,8,40810.76
84015,5,3,47198.99
79802,2,1,32058.38
105812,6,3,60026.1
99590,2,2,33895.95
143240,5,9,81000.11
71037,4,9,38614.7
30375,2,8,21570.85
53351,2,4,31459.68
65888,4,7,44924.33
29135,7,9,40818.66
138908,2,10,60056.03
23307,3,2,22905.52
94262,6,9,66798.79
134400,2,2,33391.09
102758,1,3,31494.85
96123,7,8,69703.56
42732,6,7,44548.21
43848,3,8,31656.98
124465,7,5,78716.79
109244,3,6,48861.4
84242,1,5,37157.32
31236,3,6,23771.33
138813,1,1,31074.97
22034,4,5,19019.3
21302,4,2,27530.13
53167,4,7,37471.8
108019,7,5,73175.72
24463,7,3,35226.37
63986,6,7,57997.8
109120,6,5,65557.91
20720,1,5,16550.05
78225,4,5,47718.6
149393,5,3,63405.88
54866,5,7,49798.4
146217,4,3,51586.72
39280,2,4,26392.37
88333,2,7,29039.66
88894,5,5,55884.16
27170,6,4,28707.44
140187,6,1,58341.25
50114,4,9,37957.17
91200,5,2,47063.18
25427,6,2,41181.89
93142,4,8,58135.63
59421,4,10,46147.54
32583,4,8,40436.87
127042,2,5,46605.89
72771,7,5,51225.85
119161,3,1,38250.99
86488,6,6,57857.25
22998,7,10,44977.96
37535,3,1,28244.17
136311,4,7,60269.15
42517,7,7,60975.97
54205,3,5,32669.1
59017,1,8,32229.29
98477,5,6,57947.3
26186,3,9,20258.22
51658,5,7,31342.54
49483,6,7,42172.32
48154,2,8,22190.03
82130,4,3,48460.08
38743,2,9,20051.8
24479,1,5,5883.24
84980,2,2,23199.68
24434,1,7,14648.45
39666,7,6,44759.6
140706,6,2,63160.21
43588,1,4,22243.33
94762,1,2,37199.11
129162,4,1,48734.51
71946,2,1,25186.7
31174,7,3,49148.1
119547,6,7,67076.42
21810,3,5,21491.17
31077,6,10,36718.22
63150,7,9,61679.86
63070,1,8,24514.31
25049,4,1,24058.44
24374,1,1,12096.12
120052,5,9,71470.31
115125,6,1,62031.68
119752,3,10,65201.88
95416,6,8,58714.97
135051,7,6,87863.07
23697,2,2,16595.27
78542,4,3,32625.79
115501,1,4,34051.42
143820,3,9,65339.94
104382,2,6,38460.56
71731,1,4,19923.54
148228,3,6,62800.82
148313,4,3,56933.63
80704,5,3,41518.27
116717,6,2,77114.1
78719,7,9,65164.79
48241,3,2,23363.96
82271,3,6,47856.95
121251,2,5,40927.63
68523,3,9,50754.43
93522,1,6,39641.46
76914,4,9,57576.36
22478,7,4,48976.79
129223,5,6,63000.38
54723,4,3,34934.51
36656,6,3,34943.67
24907,6,9,30493.95
102411,7,8,75097.37
33709,5,8,37847.37
69169,6,3,52846.72
23837,1,3,17661.53
148405,6,7,80320.77
140088,6,7,72698.28
141705,1,6,55669.5
86431,7,9,69245.75
127912,7,7,79817.69
51476,6,10,52751.94
148083,1,3,50515.86
131605,7,3,66436.0
86163,2,8,40638.22
36782,7,4,54570.98
96963,1,2,28390.15
117837,7,9,80966.62
97123,6,9,70645.82
50851,2,4,20649.3
142554,7,1,60126.76
60823,3,8,33037.68
20839,5,7,33735.38
114113,1,6,31156.41
55168,5,10,45254.18
77842,3,4,33942.3
56332,2,2,23360.37
46671,2,5,22452.27
26110,6,4,37676.79
146072,6,8,86313.73
25359,1,7,12994.29
101085,4,1,42664.68
73092,2,10,40062.5
100839,3,10,56557.61
77082,1,5,31359.03
60331,2,8,25124.47
147099,2,1,42804.48
89668,5,7,57382.63
144489,2,7,65713.55
149932,2,2,35955.26
111716,4,8,57305.7
98976,5,8,60343.51
57886,6,6,41486.39
35384,4,3,27333.12
126184,5,1,53294.96
128684,1,3,49640.67
40857,7,3,43547.91
28458,5,7,40433.09
33540,6,5,42739.07
56926,2,7,27633.87
113554,6,9,72753.15
53820,2,4,27864.55
104252,7,9,68730.69
78503,3,10,53039.78
142888,2,6,57470.27
131910,7,7,72820.32
59522,4,3,35636.2
131912,3,2,45899.86
77013,7,6,59258.4
83207,1,1,17506.16
41656,6,3,48584.92
94592,3,7,55060.4
79483,6,2,46593.32
63121,3,1,28634.29
137565,2,4,45699.17
94934,1,9,37843.11
107570,3,1,41369.39
38624,7,7,36590.85
75583,4,7,46645.42
90223,5,4,48433.22
25784,6,3,31844.33
125712,6,4,65420.33
24786,3,8,31618.51
116766,3,9,62508.81
108446,1,3,24109.26
73901,3,2,31217.12
136900,5,9,76007.9
21649,6,9,44293.84
67205,6,4,48993.17
109795,5,7,54076.53
94817,3,1,29154.06
114152,3,4,36309.61
28841,7,6,42422.45
31211,1,3,14842.07
106252,4,2,47747.48
70302,1,1,25405.74
26365,2,7,14406.63
25252,7,5,45054.68
62921,1,10,23629.36
89022,4,9,57341.19
68882,5,3,39746.59
144737,3,8,62223.37
147956,7,6,81858.1
138894,6,7,79656.27
60831,5,9,56436.82
29282,2,10,23855.17
121184,4,10,66267.67
34098,3,2,25809.38
47307,3,2,31885.16
141609,4,1,48059.34
42847,7,4,48199.96
35738,5,1,28710.44
142832,2,10,67875.63
44743,4,3,33458.96
98766,6,1,52479.26
122321,6,2,59009.75
38625,3,5,27576.96
75158,7,3,52003.19
60672,2,4,30560.6
44107,1,8,22692.27
72177,2,8,41814.4
84401,1,7,37282.94
26197,6,5,39149.16
23007,6,7,41079.63
50954,6,7,58229.84
26720,6,3,33828.85
54492,2,3,21800.27
47972,2,10,30851.01
57700,5,1,37210.37
109354,6,6,69076.85
146496,1,10,68487.89
130244,5,10,69843.91
71055,6,4,42879.05
127079,4,1,54075.36
28769,6,7,34036.63
85232,1,4,26673.82
104206,1,6,45408.69
127478,4,5,46180.3
107506,6,3,59727.64
74511,4,7,50132.1
71730,3,8,40809.18
122515,4,3,53031.71
127746,5,5,57244.55
107876,3,5,47505.11
146379,6,3,72327.74
125446,2,9,60562.4
115893,7,5,72717.32
78824,7,1,55756.49
142379,2,6,57168.17
130905,5,4,54756.57
83213,2,8,35147.59
136458,3,9,66275.03
145494,7,6,88891.23
74157,3,1,35148.32
125258,5,4,70579.04
79562,3,7,49382.28
65036,1,3,18510.22
28368,1,3,7860.65
80336,5,4,42979.5
82924,6,10,50817.6
74883,3,5,43576.64
131538,2,2,46967.46
27304,2,10,21667.15
115217,7,9,77022.93
39608,5,3,45516.5
124295,6,6,72339.52
52056,3,9,40343.85
75602,5,3,35410.08
134282,2,1,38219.2
122736,5,4,52321.36
21038,2,10,10128.37
33895,7,1,48911.89
51873,7,9,53260.85
77860,3,6,40072.25
95055,2,4,32340.68
65057,3,5,29325.66
65184,6,2,52071.38
31730,1,5,12771.6
100714,7,6,72124.24
93036,2,2,34097.23
111838,6,6,59884.01
90890,5,10,57898.09
137579,2,8,60658.88
126089,2,2,45032.13
30094,2,5,30515.99
114319,4,9,71940.77
74349,1,4,23208.4
90367,6,6,60526.08
136578,1,6,50612.19
122299,3,6,49642.19
129772,3,2,40460.99
133514,2,5,56561.77
59422,7,5,60757.43
131992,3,3,56343.31
139514,4,3,54977.85
67851,2,5,33950.83
94557,2,4,32490.74
78297,5,4,43945.83
92992,3,2,37187.01
47616,6,5,52287.27
38664,4,7,36627.03
20037,1,5,15638.35
26408,2,9,25074.08
120825,6,7,70950.56
70244,2,2,35343.31
66241,4,3,32658.74
108244,4,7,57635.93
21154,6,2,35142.39
70140,1,6,30739.97
100657,4,4,57161.02
35133,5,3,36352.96
78616,1,7,27822.21
137055,4,4,60794.75
58286,3,8,33622.18
24557,3,3,25184.49
118858,1,8,55410.46
51719,3,2,29926.03
80483,6,5,61468.29
32120,2,4,20291.97
119923,6,10,70073.17
93597,7,9,70290.69
23222,7,4,40382.96
76812,7,4,57092.34
100959,5,7,60134.59
81976,6,10,60631.63
143539,6,5,74175.07
103711,4,9,61942.31
110189,2,6,58332.79
64987,7,9,63865.12
54593,2,5,23417.68
26368,5,7,34280.99
61168,3,5,34325.37
141517,7,6,83729.79
77977,1,3,28229.98
148406,7,3,81256.89
59055,4,7,44702.85
149905,3,5,62973.6
82045,5,8,59273.07
50599,3,9,34508.22
110620,2,1,32917.42
42564,7,8,49545.65
102561,5,8,65032.58
121955,7,9,84375.9
110901,6,4,65271.08
84642,5,6,57476.44
57175,5,8,43284.31
146555,2,2,39693.39
31637,6,7,39690.0
130262,1,9,56509.43
37965,7,1,49008.68
125355,6,7,69609.84
20206,4,7,22975.74
54745,7,10,59667.18
38203,1,9,18871.34
26556,2,1,8919.08
131520,1,3,42906.65
127770,7,8,77068.62
30404,1,9,15153.47
52443,6,3,47840.07
39314,6,10,42564.36
34707,7,2,41027.75
95876,5,6,44713.07
34144,7,5,44469.92
81169,5,9,52092.66
55315,7,3,58867.47
22069,3,4,29199.06
23209,7,3,45057.22
117210,5,8,69953.61
36983,5,2,39525.82
27445,2,5,14473.68
33470,2,10,25797.74
42929,4,3,32883.18
74391,4,3,36162.38
105179,5,4,59714.8
36076,3,10,30336.64
126206,6,3,64595.72
45468,2,3,26030.12
82819,3,8,41911.37
59030,7,2,48963.82
23908,6,10,42593.87
90697,7,7,56245.01
138518,5,3,61615.53
50163,3,9,32981.97
138502,1,5,47740.66
55078,6,9,53112.09
25304,4,10,33318.0
62823,2,2,22594.44
84135,6,2,48480.43
142811,3,7,66887.76
131214,4,2,50795.2
148822,1,10,66734.52
88963,6,8,56191.16
50806,6,4,39809.21
107950,6,3,55734.68
108479,2,7,43448.01
72926,7,9,60220.16
95024,1,2,26099.53
94572,5,4,55382.11
69651,3,2,28041.15
107972,5,6,59192.43
134280,6,4,65442.88
96537,7,8,75613.19
100678,5,4,67389.13
99726,1,8,42764.93
57082,3,10,33672.43
136954,4,1,47386.72
138608,1,5,48344.99
133110,4,3,50327.78
100671,2,10,43368.76
85697,6,8,55689.57
28812,7,6,42034.99
148925,5,3,67436.01
38420,5,8,33984.37
37680,5,4,34590.45
105269,2,4,42921.47
134554,5,5,61633.19
51989,1,1,17369.34
77980,3,9,46155.03
49330,2,6,23309.15
64712,1,9,25021.82
80906,6,4,56149.73
52866,3,1,29099.02
116829,1,8,53625.85
98083,4,4,49823.3
139083,2,3,49862.8
36095,3,6,34118.69
93035,3,8,45550.16
24524,5,4,34629.64
140511,7,5,68774.74
62071,7,3,51074.94
109303,4,9,58333.37
148576,7,4,75092.39
110608,4,10,57318.8
40709,1,5,22535.26
26794,3,3,23792.63
78125,4,4,41013.72
26979,3,2,24973.5
62246,4,1,32393.26
59132,1,7,27649.6
34614,3,5,25157.25
129264,3,7,58566.62
42884,4,10,35399.39
41512,2,5,25928.66
56480,1,10,25729.33
102398,2,7,43156.74
90549,2,2,35073.45
64226,1,4,24550.32
73981,2,1,30989.24
96991,1,2,35912.92
77159,3,9,40161.16
125064,3,7,53761.7
29773,4,5,40231.02
130479,6,3,58739.49
133481,6,10,90360.61
50865,6,4,41890.55
65391,5,10,52107.77
120458,6,1,49036.74
121572,2,1,36606.73
87651,4,9,57907.59
147805,5,4,64316.55
90909,1,3,26685.98
142889,5,9,78085.28
138946,4,3,63742.94
97272,6,8,54955.78
141419,3,10,72019.54
120935,3,8,67322.06
140161,7,7,81060.82
49120,4,2,39879.63
119792,4,1,45424.79
118960,5,2,62455.92
87499,7,10,66485.43
26372,6,5,43033.12
61852,1,2,27009.15
36643,5,10,37792.29
79847,6,10,62713.3
143273,5,7,74812.71
34872,4,3,25964.22
103737,2,6,30942.11
24644,3,9,20426.13
45551,4,9,32172.15
55135,5,10,44028.83
114207,6,6,64043.39
40939,2,1,20010.15
34370,5,3,29628.66
20676,5,2,33332.51
94744,3,7,34888.09
135723,1,1,38299.39
126018,2,2,45034.3
141732,1,7,54657.61
136468,3,8,60535.33
42288,3,9,28608.43
117817,6,8,76390.93
54714,3,10,36662.18
71272,4,2,43403.76
139299,6,10,86696.3
79572,7,6,62522.17
42233,3,1,23836.5
123521,7,1,60473.87
116545,6,2,62741.65
36442,5,9,39085.19
47678,5,4,40102.51
92654,3,3,36611.86
74392,2,9,39928.64
93999,1,3,29335.42
38877,5,6,38663.39
119038,7,1,56732.47
94351,5,4,53085.36
125067,7,1,64142.86
147200,7,5,73722.01
51391,4,10,48193.01
106188,5,9,54590.17
48809,5,5,32104.94
20348,3,3,21143.86
103825,1,8,34626.38
100257,7,6,64125.64
94647,3,1,31614.97
123895,2,5,35859.87
46120,6,4,34124.52
93573,7,2,53540.34
124288,6,10,68986.96
137695,6,2,61041.13
25252,5,5,33521.4
70250,2,2,28181.91
64089,6,2,46186.86
66397,7,9,56463.76
80490,2,6,40567.48
93004,5,9,57482.69
37189,5,8,39367.42
85068,4,2,42562.36
26333,3,5,20292.23
82568,7,8,64089.13
121260,7,4,61571.82
62528,4,2,34316.65
39267,7,9,49405.28
140447,2,6,56642.83
127746,4,1,47273.95
144357,2,6,49253.8
20257,7,7,32882.25
98760,3,5,34219.03
132386,2,3,46837.54
83179,2,8,34999.42
108684,5,1,51487.97
51034,5,10,42118.62
38817,3,10,20615.57
80443,7,6,57355.74
29150,2,3,21992.46
102091,5,1,54799.94
98020,5,6,53826.35
82588,6,8,48994.75
98984,1,5,36509.55
90421,5,6,57464.73
122603,6,6,70289.81
127573,1,7,39566.04
43996,2,4,19535.64
116322,1,4,33573.3
127012,3,8,55998.48
93531,7,8,76433.49
86416,2,5,32451.92
23276,7,7,38556.65
105150,5,7,52976.87
34530,1,5,14568.16
132721,3,7,65509.93
106223,1,7,40003.85
62177,1,6,31494.94
139946,2,8,64425.98
27959,1,7,14334.74
45692,6,7,43970.6
132820,2,3,55022.91
112205,6,5,69230.22
77385,3,9,40624.13
97944,1,10,45946.27
94601,1,6,31502.04
142118,3,1,48382.19
122063,7,6,74168.66
41119,5,3,34532.53
147890,2,7,65165.66
61616,6,9,61129.72
139037,3,7,63765.11
42342,2,5,23491.64
39778,2,2,16445.06
143070,5,1,51995.2
95041,1,9,47729.32
98433,5,5,46685.5
83456,7,6,53988.47
125012,5,10,71824.22
132607,2,4,51662.94
90580,5,9,59257.64
45239,1,2,11927.14
144654,2,3,53226.89
34329,3,2,28568.14
126550,6,1,59746.96
40820,1,4,14265.76
140543,1,7,60934.17
31866,3,4,31362.77
101237,2,4,41263.75
57901,7,2,58507.0
135341,1,3,37569.37
91290,6,1,43758.82
68428,2,5,32291.81
55064,4,1,19802.91
93330,6,5,65301.05
59994,2,3,19149.24
33610,7,6,43721.6
133546,5,3,60485.72
140921,1,1,35425.97
81658,4,1,38585.8
25176,3,6,22455.43
31923,2,4,26213.53
86818,7,9,68014.18
51709,7,3,48646.94
35760,7,2,43798.24
127082,5,7,68525.31
76709,1,5,27873.15
89686,1,6,23366.66
135776,6,7,69594.59
34027,7,2,50440.51
21008,7,2,44594.56
117468,5,10,75356.12
46527,5,5,37204.77
32170,6,1,38009.71
30494,3,4,24819.86
143716,4,1,53566.02
82501,2,5,32882.46
36391,6,8,39078.21
50738,7,3,51329.23
114805,1,10,45157.31
96722,4,3,42456.19
48908,6,9,51665.22
32477,7,1,42649.54
72066,1,8,26275.01
39808,1,5,10770.09
111864,7,5,71547.5
29491,7,9,44538.5
124164,4,10,62677.81
62835,3,8,33959.38
81827,5,10,63140.0
99112,6,3,57362.49
130613,2,3,47962.86
45547,2,2,22380.54
48306,2,7,37165.78
69596,6,4,48681.11
109277,5,1,52109.68
67579,5,7,44346.54
38806,3,2,20498.48
65143,6,6,52166.34
73997,5,7,55176.57
124739,1,6,47444.96
82550,4,8,56893.12
106175,5,6,57200.88
70540,6,7,45779.61
47236,4,7,37804.93
47595,3,1,21379.26
106162,3,3,38295.78
67993,5,10,56340.94
134669,4,7,64477.8
31286,7,1,43340.88
56244,2,7,40369.1
32587,1,3,12308.65
55711,4,5,41356.5
30370,5,9,37482.83
50775,1,2,23463.12
134214,7,5,75743.53
29345,6,2,39187.14
134637,3,2,41054.23
34227,4,5,32546.78
92021,7,4,51172.33
31041,3,10,34505.16
142951,7,8,85516.18
128827,5,5,57137.7
59886,7,4,61047.34
61541,7,3,54955.19
26874,7,5,37255.88
126672,5,10,76165.72
103762,7,9,63062.37
112266,1,1,30440.37
136184,4,4,53822.79
100378,7,5,71219.67
96797,6,7,62494.6
59048,2,2,31598.02
61884,6,2,44131.39
143993,3,9,70404.82
77316,3,1,34178.89
122077,4,4,47776.77
108932,1,2,32930.72
34902,4,4,32652.91
91534,6,5,60429.4
136451,6,5,68517.36
21095,7,4,47070.2
100679,3,2,39410.59
145846,5,2,62928.7
43145,3,2,26237.15
25107,1,2,14132.49
43999,3,9,36356.86
107792,5,9,83703.1
43778,4,1,22542.08
86236,7,3,65426.61
23184,1,1,9576.12
31580,1,5,8456.87
90587,5,9,59872.34
46998,1,7,15341.52
90016,4,6,41952.8
52151,4,9,27866.17
77756,1,9,42368.72
98095,3,9,53899.98
56340,5,10,49485.31
80868,4,1,37979.56
87247,1,6,29752.51
54236,4,8,38766.84
105952,6,6,59820.91
93376,3,10,50173.13
43489,3,4,27251.73
22750,5,2,26079.33
64770,2,5,33110.15
144368,3,9,70508.45
63504,2,6,39669.21
145806,4,1,51418.38
44064,5,8,40746.6
75217,2,9,33509.28
114567,4,5,50407.35
36048,6,6,37593.59
109484,7,4,67279.22
60007,5,2,39543.03
95915,1,2,25149.98
45871,2,2,21467.58
23850,6,7,37072.99
63365,6,10,54121.61
66852,2,3,32621.61
134031,2,10,53294.0
139800,2,1,39589.64
62400,2,4,28190.97
46336,1,10,20041.58
123945,4,7,58276.97
44538,3,8,24647.89
23603,4,8,28517.71
26860,7,6,38056.94
95390,7,1,52156.11
97069,1,10,45628.64
100056,7,6,59518.74
115245,4,9,58587.26
91331,1,4,29602.81
58248,4,7,46355.77
102239,2,10,55535.64
40360,4,9,39603.68
134200,2,3,46732.83
53537,2,2,20815.34
44130,5,4,44787.03
63136,6,10,59683.23
93813,7,1,52813.26
128885,2,4,45495.4
116039,2,9,51512.19
78911,3,5,44850.17
141392,6,6,66279.68
41928,4,7,31863.09
61720,2,6,24301.08
29836,2,3,11671.84
124885,5,3,55678.88
28552,4,6,26124.96
45874,7,5,50906.62
69246,7,7,51362.88
35710,1,8,13897.52
145053,3,8,67062.68
37267,3,2,22949.71
24041,6,5,36605.9
39181,1,4,13227.96
42111,1,10,20807.75
71533,3,2,34951.47
29891,3,10,23759.24
98724,6,10,70972.5
105136,4,3,49373.17
61474,6,3,49131.02
49161,4,1,22147.87
65246,1,8,32831.95
28593,4,4,21999.52
31967,5,7,25681.99
93285,5,3,42893.48
99231,2,4,37199.33
126990,6,7,74093.52
106340,1,7,41945.11
86265,1,1,28971.06
131606,3,5,47574.81
57930,3,6,24983.96
90587,3,6,37586.6
93344,1,2,26952.47
77235,6,10,67682.19
103770,5,6,59545.23
105979,2,5,47310.88
141735,2,9,71376.06
59328,7,10,50777.38
35964,3,6,31752.35
111745,5,2,53658.48
